decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.0012722637665059109,0.09724748661108336,0.06615771585830736,0.7012615987725176
2,0.0021792042275024033,0.08012429103353585,0.11331861983012498,0.5777844794632261
3,0.0023988734830176187,0.07405442474469351,0.12474142111691618,0.5340140511839634
4,0.0024665154589645607,0.07240803734731943,0.12825880386615715,0.5221417828229434
5,0.0025102877635834187,0.0712462312367149,0.13053496370633777,0.5137638798150794
6,0.0026961166707800016,0.07288752101107743,0.14019806688056008,0.5255993886937971
7,0.002899002879620866,0.0718270390013133,0.15074814974028503,0.5179521441679737
8,0.0030595371250529183,0.07273641880638684,0.15909593050275175,0.5245097752001019
9,0.0032308547650070855,0.07265882023619531,0.16800444778036844,0.5239502039526455
10,0.003974999752480401,0.0768950706297149,0.20669998712898086,0.5544982399717242
