decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.050303855623981986,0.45926899419769995,0.20121542249592794,0.9185379883953999
2,0.030932607955787235,0.30127077002243796,0.12373043182314894,0.6025415400448759
3,0.028670130282794238,0.2437589514034223,0.11468052113117695,0.4875179028068446
4,0.02975760325808282,0.21390679170165142,0.11903041303233128,0.42781358340330283
5,0.02828650727658071,0.19663429994393025,0.11314602910632283,0.3932685998878605
6,0.025929653211374103,0.184516641722551,0.10371861284549641,0.369033283445102
7,0.022435936584158683,0.18858640272580257,0.08974374633663473,0.37717280545160514
8,0.028270481733199442,0.20828603798106649,0.11308192693279777,0.41657207596213297
9,0.03218926514504978,0.2990612842764995,0.12875706058019912,0.598122568552999
10,0.040734497156438905,0.3755692259753785,0.16293798862575562,0.751138451950757
