decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.015536980460612778,0.2619800218397371,0.18644376552735334,0.9075254167888576
2,0.010023693411392543,0.1675238061628523,0.12028432093671051,0.5803194875027607
3,0.008705304295712304,0.1314641026729334,0.10446365154854764,0.4554050104019442
4,0.008475327546220294,0.12185833708985981,0.10170393055464352,0.4221296623309843
5,0.008424166750480827,0.11350222794751696,0.10109000100576992,0.3931832511547271
6,0.00782969493320345,0.1047141185635697,0.0939563391984414,0.3627403472437881
7,0.008295026799699942,0.11259772857234704,0.0995403215963993,0.3900499734083099
8,0.007773772628492719,0.12005523130090345,0.09328527154191263,0.41588352065519635
9,0.008149050066672558,0.14299769466394702,0.0977886008000707,0.4953585450463543
10,0.010627689502720557,0.21081141594788141,0.1275322740326467,0.730272166474533
