decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.007426823925820293,0.2230346540283034,0.0891218871098435,0.7726147052511361
2,0.005769822758896766,0.1509894378716792,0.06923787310676119,0.5230427556000256
3,0.006921128993402636,0.12282857731270336,0.08305354792083162,0.42549067305400823
4,0.00715078668795645,0.1189064894965563,0.0858094402554774,0.41190416231538113
5,0.007451523570808789,0.11375264676841865,0.08941828284970546,0.3940507273966735
6,0.008424705212107099,0.11030971782500838,0.10109646254528518,0.3821240716830015
7,0.008773349707422306,0.11601477838079667,0.10528019648906767,0.40188698116876637
8,0.009552365348661385,0.1273934295377076,0.11462838418393662,0.4413037850195106
9,0.01261840877353047,0.1812334252832044,0.15142090528236563,0.6278110012404959
10,0.019740432605244832,0.2347955523180513,0.236885191262938,0.8133556520121226
