decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.0016525724705575488,0.1170572157984828,0.08593376846899253,0.8441115874489662
2,0.001422142391446106,0.07393265189151794,0.07395140435519751,0.5331359346517953
3,0.0017584122765867537,0.061888051904968905,0.0914374383825112,0.4462810889638844
4,0.0018576817583299354,0.05663962984411348,0.09659945143315664,0.40843417925250314
5,0.001804060649785626,0.05289692705096489,0.09381115378885255,0.3814451655934641
6,0.0022205906077905706,0.054304939733499175,0.11547071160510967,0.391598489440226
7,0.002402895252317069,0.05785165952628664,0.1249505531204876,0.41717424958542243
8,0.002755370714266776,0.06473153763599128,0.14327927714187236,0.46678575617238716
9,0.003546478805933601,0.07607258174379675,0.18441689790854726,0.5485671882683699
10,0.007265449936419352,0.11546334196684185,0.3778033966938063,0.8326179997957628
