decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.03166082714015485,0.3699675428523987,0.1266433085606194,0.7399350857047974
2,0.026684769596910397,0.26167159828298775,0.10673907838764159,0.5233431965659755
3,0.02401394452871487,0.22211106027512656,0.09605577811485948,0.4442221205502531
4,0.02543215039636377,0.22886669784524186,0.10172860158545508,0.4577333956904837
5,0.027083553164219343,0.19684021973577534,0.10833421265687737,0.3936804394715507
6,0.028561482700405344,0.22360066794939287,0.11424593080162138,0.44720133589878575
7,0.030492255702089903,0.26923343323541715,0.12196902280835961,0.5384668664708343
8,0.03079744815617385,0.22955380206609,0.1231897926246954,0.45910760413218
9,0.03620107132834166,0.2909531955793552,0.14480428531336664,0.5819063911587103
10,0.05655823033782338,0.4278759917768663,0.22623292135129353,0.8557519835537326
