decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.006769551821348811,0.12057147890464111,0.3520166947101382,0.8694532990984164
2,0.0030839397075851445,0.07893337284896317,0.16036486479442752,0.5691966463045075
3,0.002351117391852728,0.06609414823041122,0.12225810437634185,0.4766116809057303
4,0.002139570009401322,0.057802529736472485,0.11125764048886874,0.4168199696327671
5,0.0022085201237445466,0.053022271077351205,0.11484304643471642,0.38234903422188204
6,0.002057177234699221,0.052421879275335426,0.10697321620435948,0.3780195473668098
7,0.0018658296893636934,0.05511946993514304,0.09702314384691206,0.39747215025510796
8,0.0020209581194355225,0.06413393071098436,0.10508982221064717,0.4624763513510175
9,0.0018118586073522464,0.06893346979184387,0.0942166475823168,0.497086319860282
10,0.0023836512231280803,0.1125942824521162,0.12394986360266018,0.8119289174103604
