decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.03250794766104899,0.3739687626521336,0.13003179064419595,0.7479375253042672
2,0.03287020343921577,0.3053880880251965,0.13148081375686307,0.610776176050393
3,0.032989515660620694,0.286170926141153,0.13195806264248278,0.572341852282306
4,0.033696990459839905,0.3499732777684889,0.13478796183935962,0.6999465555369778
5,0.03152332701076267,0.2725960585099052,0.1260933080430507,0.5451921170198104
6,0.0304348857591656,0.2619080403354446,0.1217395430366624,0.5238160806708893
7,0.03130936699476652,0.24394178357444546,0.12523746797906607,0.4878835671488909
8,0.03176067273196509,0.23534361542412355,0.12704269092786036,0.4706872308482471
9,0.030529677513826816,0.2251754954554145,0.12211871005530726,0.450350990910829
10,0.029882195844407235,0.20881163473111228,0.11952878337762894,0.41762326946222456
