decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.05532622037437834,0.4632502642442438,0.22130488149751337,0.9265005284884876
2,0.034429068879122074,0.28965950973214827,0.1377162755164883,0.5793190194642965
3,0.028379267348406605,0.23757453404535173,0.11351706939362642,0.47514906809070345
4,0.02815217107956536,0.2053941045098562,0.11260868431826145,0.4107882090197124
5,0.0263868133320724,0.19767451805172653,0.1055472533282896,0.39534903610345307
6,0.027464514203665535,0.19583994771984434,0.10985805681466214,0.3916798954396887
7,0.02522186883346844,0.1947378704301236,0.10088747533387377,0.3894757408602472
8,0.027639109371161492,0.27371723785495256,0.11055643748464597,0.5474344757099051
9,0.027800343402984255,0.2397039995611705,0.11120137361193702,0.479407999122341
10,0.03671897499543013,0.37947964031062875,0.14687589998172051,0.7589592806212575
