,Low,2,3,4,5,6,7,8,9,High,H-L
I5/R5 Ret,0.07,0.12,0.13,0.13,0.14,0.15,0.16,0.16,0.17,0.21,0.14
I5/R5 Std,0.13,0.16,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.11
I5/R5 SR,0.55,0.75,0.77,0.77,0.75,0.79,0.83,0.85,0.89,1.04,1.29
I5/R5 Turnover,,,,,,,,,,,0.858
