decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.008153321086336221,0.21935986197594864,0.09783985303603465,0.7598848521672785
2,0.00948152453359377,0.17296400112711427,0.11377829440312523,0.5991648756651249
3,0.010821093431229752,0.16784471751848012,0.12985312117475703,0.5814311570481071
4,0.009615509256746231,0.17985640824333707,0.11538611108095478,0.6230408742886192
5,0.009207862400120146,0.1436462167860016,0.11049434880144175,0.4976050915768161
6,0.009583115222131755,0.14201898838891447,0.11499738266558107,0.4919682070582686
7,0.009230992633838598,0.13435718289789572,0.11077191160606317,0.46542693428195925
8,0.00921306081406309,0.13044753731465503,0.11055672976875708,0.451883524702439
9,0.009279736162577877,0.1253551458825618,0.11135683395093451,0.43424296331761114
10,0.009251147685859908,0.120715963679492,0.1110137722303189,0.4181723647550387
