,Low,2,3,4,5,6,7,8,9,High,H-L
I60/R60 Ret,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,-0.01
I60/R60 Std,0.22,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.17,0.16,0.11
I60/R60 SR,0.6,0.65,0.67,0.71,0.65,0.67,0.69,0.73,0.73,0.77,-0.11
I60/R60 Turnover,,,,,,,,,,,0.8668
