statistic,I5,I20,I60
alpha_ann_pct,0.27650316443418643,-4.300743808309307,-6.650323375466451
alpha_t,0.1327709642946479,-2.225207711677543,-3.7667372686011533
beta_Mkt-RF,0.29212151209845844,0.099839442525103,0.08119344490166773
t_Mkt-RF,14.24065809161842,2.205892268616772,1.2443220671743185
beta_SMB,0.1382245467493827,0.007328710074761456,-0.14370465102009503
t_SMB,3.812596984381087,0.10553251311106707,-1.238141776998019
beta_HML,0.1277008408029622,0.019584754174728394,0.22531657064824973
t_HML,3.5679184349772686,0.265007289922568,2.2073635827791533
beta_RMW,0.019438038995642257,0.3201337603470844,0.6916427021128648
t_RMW,0.41002890099653844,3.4779289486523117,5.239584515085339
beta_CMA,-0.25244377470233165,-0.10626537329010174,-0.28514619028440547
t_CMA,-4.20273673336069,-0.9819694341921154,-2.013371190192127
beta_Mom,-0.032404827017394645,-0.001979755330307795,0.23384207571794988
t_Mom,-1.5113757245982273,-0.04754523440493572,3.8631627916945437
R2,0.3377439229429239,0.06823932861000237,0.6316880892085792
R2_adj,0.33369755180000893,0.042711638982879,0.5987049330183027
n_obs,989.0,226.0,74.0
