decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.018046343802293568,0.26391828454094735,0.2165561256275228,0.9142397557426811
2,0.009843211921489145,0.16069209821357794,0.11811854305786973,0.55665375696153
3,0.008768218835703365,0.13147970460665775,0.10521862602844038,0.45545905708575796
4,0.00851109466525857,0.1171892932495132,0.10213313598310285,0.40595562002249064
5,0.00788965846330595,0.10794574431758645,0.0946759015596714,0.3739350272377983
6,0.007474260390554467,0.10721270069918666,0.0896911246866536,0.37139568965533315
7,0.00767295057317965,0.10962772142239477,0.0920754068781558,0.3797615668431895
8,0.007595509180570839,0.12404894633251293,0.09114611016685006,0.42971815534659463
9,0.007363707745254916,0.1379870708476375,0.08836449294305898,0.4780012349914288
10,0.010677407324848487,0.22028266512298647,0.12812888789818183,0.7630815360393866
